City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Namibe,AO,75.54,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
248,Harper,LR,77.94,scattered clouds,4.375,-7.7169,Screensaver
254,Tambun,ID,80.01,haze,-6.2641,107.0712,@HOM Premiere Tambun
259,Lima,PE,78.01,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
273,Kaeo,NZ,82.99,few clouds,-35.1,173.7833,Bushido Lodge
277,Amuntai,ID,76.62,light rain,-2.4177,115.2494,Hotel Balqis
280,Puerto Colombia,CO,80.38,clear sky,10.9878,-74.9547,Hotel El Emigrante
291,Kahului,US,82.4,light rain,20.8947,-156.47,Maui Seaside Hotel
307,Ilhabela,BR,77.0,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
309,Manado,ID,84.2,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
313,Acapulco,MX,77.04,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
315,Bubaque,GW,77.52,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
324,Bitung,ID,84.2,scattered clouds,1.4451,125.1824,K2 Lembeh
325,Tautira,PF,82.4,broken clouds,-17.7333,-149.15,Pension Oaoa
326,Sinnamary,GF,77.4,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
327,Sapele,NG,78.51,overcast clouds,5.8941,5.6767,Movig Hotel & Suites
330,Lakatoro,VU,81.34,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
331,Lajas,PR,77.0,clear sky,18.05,-67.0593,Oasis Parador Hotel
334,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
335,Sagua La Grande,CU,75.2,light rain,22.8067,-80.0756,Hotel Telégrafo
337,Sampit,ID,75.27,light rain,-2.5333,112.95,Aquarius Boutique Hotel Sampit
340,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
341,Bowen,AU,86.0,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
371,Mananjary,MG,75.42,clear sky,-21.2167,48.3333,Vahiny Lodge
374,Vanimo,PG,82.17,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
375,Hienghene,NC,78.08,overcast clouds,-20.6833,164.9333,Ka Waboana Lodge
382,Ahipara,NZ,75.07,clear sky,-35.1667,173.1667,Ahipara Holiday Park
388,Kuala Terengganu,MY,75.2,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
390,Bintulu,MY,75.2,scattered clouds,3.1667,113.0333,900 Boutique INN
396,Buala,SB,85.21,light rain,-8.145,159.5921,Maringe Lagoon Lodge
399,Male,MV,80.6,broken clouds,4.1748,73.5089,Hotel Octave Maldives
405,Alugan,PH,80.8,overcast clouds,12.2188,125.4808,JM Lodge
414,Miracema Do Tocantins,BR,75.15,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
416,Bata,GQ,78.8,light rain,1.8639,9.7658,Hotel Carmen
420,Sao Joao Da Barra,BR,77.81,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
425,Kendari,ID,82.24,overcast clouds,-3.945,122.4989,Hotel Wixel
427,Araguaina,BR,76.39,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
434,Kavaratti,IN,80.55,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
438,Pilar,BR,75.2,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
439,Santa Vitoria,BR,76.06,broken clouds,-18.8386,-50.1214,Center Hotel
455,Touros,BR,79.02,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
456,Imbituba,BR,77.0,light rain,-28.24,-48.6703,Praia Hotel Imbituba
457,Tual,ID,82.92,light rain,-5.6667,132.75,Grand Vilia Hotel
458,Kudahuvadhoo,MV,81.07,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
464,Vao,NC,76.73,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
465,Tuatapere,NZ,77.0,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
466,Iralaya,HN,80.6,few clouds,15.0,-83.2333,Iglesia morava renovada
468,Humberto De Campos,BR,76.42,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
475,Vaitape,PF,81.86,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
485,Bundaberg,AU,84.2,broken clouds,-24.85,152.35,Takalvan Motel
487,Carutapera,BR,77.79,light rain,-1.195,-46.02,Lidera
493,Innisfail,AU,82.09,overcast clouds,-17.5333,146.0333,Moondarra Motel
