City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
233,Nouadhibou,MR,20.931,-17.0347,64.4,77,0,17.27,clear sky
234,Half Moon Bay,US,37.4636,-122.4286,48.2,81,90,26.46,light rain
235,Samarai,PG,-10.6167,150.6667,85.35,65,88,5.35,overcast clouds
236,Bereda,ES,43.2686,-7.5406,59.0,100,100,5.99,overcast clouds
237,Esperance,AU,-33.8667,121.9,62.6,82,90,8.05,overcast clouds
238,Yamada,JP,39.4667,141.95,49.37,76,100,8.05,overcast clouds
239,Gari,RU,59.4307,62.3497,22.24,97,88,7.54,overcast clouds
240,Sur,OM,22.5667,59.5289,64.49,64,0,3.4,clear sky
241,Oussouye,SN,12.485,-16.5469,69.8,94,0,4.61,clear sky
242,Waipawa,NZ,-41.4122,175.5153,75.2,60,0,18.41,clear sky
243,Iwanai,JP,42.9744,140.5089,40.39,89,100,14.32,overcast clouds
244,Kiunga,PG,-6.1219,141.2906,80.85,78,100,4.7,overcast clouds
245,Ahuimanu,US,21.4447,-157.8378,80.6,65,75,11.5,broken clouds
246,Talara,PE,-4.5772,-81.2719,74.44,78,70,15.3,broken clouds
247,Namibe,AO,-15.1961,12.1522,75.54,76,5,5.55,clear sky
248,Harper,LR,4.375,-7.7169,77.94,85,48,8.08,scattered clouds
249,Mahebourg,MU,-20.4081,57.7,73.4,83,20,6.91,few clouds
250,Upleta,IN,21.7333,70.2833,52.74,42,0,8.05,clear sky
251,Rolla,US,37.9514,-91.7713,28.99,80,90,6.91,overcast clouds
252,Huarmey,PE,-10.0681,-78.1522,71.92,77,100,8.93,overcast clouds
253,Kaduna,NG,10.5222,7.4383,69.31,23,98,7.14,overcast clouds
254,Tambun,ID,-6.2641,107.0712,80.01,83,40,5.75,haze
255,Abha,SA,18.2164,42.5053,55.4,50,0,3.09,clear sky
256,Aldergrove,CA,49.058,-122.4709,41.0,48,75,9.22,broken clouds
257,Jining,CN,35.405,116.5814,39.9,67,41,8.99,scattered clouds
258,Tateyama,JP,34.9833,139.8667,62.6,94,75,25.32,moderate rain
259,Lima,PE,-12.0432,-77.0282,78.01,82,100,10.6,overcast clouds
260,Pokhara,NP,28.2333,83.9833,50.67,40,0,3.85,clear sky
261,Chokurdakh,RU,70.6333,147.9167,-31.11,82,89,7.45,overcast clouds
262,Vila,PT,42.0304,-8.1588,54.0,96,100,5.99,overcast clouds
263,Linxia,CN,35.6003,103.2064,21.52,82,82,1.48,broken clouds
