City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
266,Bulata,PH,2021-01-23 21:31:01,9.8599,122.4016,78.55,76,95,1.25
267,Itoman,JP,2021-01-23 21:31:02,26.1247,127.6694,66.2,77,75,20.71
268,Kokoda,PG,2021-01-23 21:31:02,-8.8785,147.7407,79.79,65,93,0.2
269,Arraial Do Cabo,BR,2021-01-23 21:31:02,-22.9661,-42.0278,80.6,83,0,19.57
270,Semnan,IR,2021-01-23 21:31:03,35.5729,53.3971,29.84,73,55,1.97
271,Ulladulla,AU,2021-01-23 21:31:03,-35.35,150.4667,77.0,78,2,6.91
272,Quatre Cocos,MU,2021-01-23 21:31:03,-20.2078,57.7625,80.01,83,40,3.44
273,Galle,LK,2021-01-23 21:31:04,6.0367,80.217,73.87,86,2,4.32
274,Khatanga,RU,2021-01-23 21:31:04,71.9667,102.5,-26.55,85,100,11.05
275,Cherskiy,RU,2021-01-23 21:31:04,68.75,161.3,-23.87,86,100,6.67
276,Brownwood,US,2021-01-23 21:31:05,31.7093,-98.9912,59.0,77,90,10.36
277,Georgetown,MY,2021-01-23 21:30:13,5.4112,100.3354,78.01,88,20,3.31
278,Aklavik,CA,2021-01-23 21:31:05,68.2191,-135.0107,-0.4,78,75,8.05
279,Yeppoon,AU,2021-01-23 21:31:06,-23.1333,150.7333,75.2,64,40,5.75
280,Auki,SB,2021-01-23 21:31:06,-8.7676,160.7034,82.44,63,66,5.19
281,Krasnoselkup,RU,2021-01-23 21:31:07,65.7,82.4667,-42.03,74,0,6.2
282,Darab,IR,2021-01-23 21:31:07,28.7519,54.5444,43.75,51,83,1.54
283,Mahebourg,MU,2021-01-23 21:31:07,-20.4081,57.7,78.8,83,40,3.44
284,Flin Flon,CA,2021-01-23 21:31:08,54.7682,-101.865,-7.6,71,75,9.22
285,Macamic,CA,2021-01-23 21:31:08,48.7502,-78.9996,3.2,66,20,9.22
286,Lorengau,PG,2021-01-23 21:31:08,-2.0226,147.2712,82.67,68,92,3.06
287,Mujiayingzi,CN,2021-01-23 21:31:09,42.1167,118.7833,20.19,85,81,3.85
288,Vallenar,CL,2021-01-23 21:29:01,-28.5708,-70.7581,83.95,24,0,9.95
289,Samarinda,ID,2021-01-23 21:31:09,-0.5,117.15,74.25,96,100,1.57
290,Kushima,JP,2021-01-23 21:31:10,31.4583,131.2333,53.6,100,75,3.44
291,Grand Gaube,MU,2021-01-23 21:31:10,-20.0064,57.6608,80.01,74,2,1.99
292,Copiapo,CL,2021-01-23 21:30:32,-27.3667,-70.3333,71.6,60,20,10.36
293,Davidson,US,2021-01-23 21:28:33,36.1501,-86.7833,46.99,25,20,8.05
294,San Jose,US,2021-01-23 21:29:48,37.3394,-121.895,55.99,58,40,6.91
295,Hamilton,US,2021-01-23 21:31:12,39.1834,-84.5333,34.0,40,1,5.75
296,Dandong,CN,2021-01-23 21:31:12,40.1292,124.3947,29.34,95,0,1.74
